Species,Country.of.Origin,Region,Producer,Number.of.Bags,In.Country.Partner,Harvest.Year,Grading.Date,Processing.Method,Aroma,Flavor,Aftertaste,Acidity,Body,Balance,Uniformity,Clean.Cup,Sweetness,Cupper.Points,Total.Cup.Points,Moisture,altitude_low_meters,altitude_high_meters,altitude_mean_meters
Arabica,Ethiopia,guji-hambela,METAD PLC,300,METAD Agricultural Development plc,2014,"April 4th, 2015",Washed / Wet,8.67,8.83,8.67,8.75,8.5,8.42,10,10,10,8.75,90.58,0.12,1950,2200,2075
Arabica,Ethiopia,guji-hambela,METAD PLC,300,METAD Agricultural Development plc,2014,"April 4th, 2015",Washed / Wet,8.75,8.67,8.5,8.58,8.42,8.42,10,10,10,8.58,89.92,0.12,1950,2200,2075
Arabica,Ethiopia,oromia,Yidnekachew Dabessa Coffee Plantation,320,METAD Agricultural Development plc,2014,"March 26th, 2015",Natural / Dry,8.17,8.58,8.42,8.42,8.5,8.25,10,10,10,8.67,89,0.11,1800,2200,2000
Arabica,Ethiopia,guji-hambela,METAD PLC,300,METAD Agricultural Development plc,2014,"April 4th, 2015",Washed / Wet,8.25,8.5,8.25,8.5,8.42,8.33,10,10,10,8.58,88.83,0.12,1950,2200,2075
Arabica,Ethiopia,"snnp/kaffa zone,gimbowereda",Diamond Enterprise Plc,50,METAD Agricultural Development plc,2014,"March 30th, 2015",Natural / Dry,8.08,8.58,8.5,8.5,7.67,8.42,10,10,10,8.5,88.25,0.1,1795,1850,1822.5
Arabica,Ethiopia,oromia,Fahem Coffee Plantation,300,METAD Agricultural Development plc,2014,"March 27th, 2015",Natural / Dry,8.17,8.67,8.25,8.5,7.75,8.17,10,10,10,8.58,88.08,0.1,1855,1955,1905
Arabica,United States,antioquia,Jorge Walter Restrepo,10,Almcafe,2014,"March 13th, 2015",Washed / Wet,8.08,8.67,8.33,8.42,8,8.08,10,10,10,8.33,87.92,0,1943,1943,1943
Arabica,China,yunnan,Echo Coffee,3,Yunnan Coffee Exchange,2015,"April 7th, 2016",Washed / Wet,8.42,8.25,8.08,8.17,7.92,8,10,10,10,8.42,87.25,0.1,1450,1450,1450
Arabica,Ethiopia,gedio,LevelUp,250,Blossom Valley International,2014,"March 25th, 2015",Natural / Dry,8.17,8.17,8,8.17,8.08,8.33,10,10,10,8.33,87.25,0,1700,2000,1850
Arabica,Costa Rica,san ramon,SEVERAL,250,Specialty Coffee Association,2014,"April 2nd, 2014",Washed / Wet,8.08,8.25,8,8.17,8,8.33,10,10,10,8.33,87.17,0.11,1300,1300,1300
Arabica,Mexico,xalapa,ROBERTO LICONA FRANCO,14,AMECAFE,2012,"July 26th, 2012",Washed / Wet,8.17,8.25,8.17,8,7.83,8.17,10,10,10,8.58,87.17,0.13,1320,1320,1320
Arabica,United States,antioquia,Silvia Elena Higuita,10,Almcafe,2014,"March 13th, 2015",Washed / Wet,8.25,8.33,8.17,8.17,7.83,8.17,10,10,10,8.17,87.08,0,2112,2112,2112
Arabica,Brazil,south of minas,Ralph Junqueira,3,NUCOFFEE,2011,"December 3rd, 2011",Natural / Dry,8.5,8.5,8,8,8,8,10,10,10,7.92,86.92,0.12,1250,1250,1250
